1. After linking with hexagon
id=18996853, custId=fe77ed45-4ea5-41b9-a5bb-b972ee4fa841, eventTimestamp=2016-07-01T06:38:36.810+03:00, lon=-71.0871, hexagonId=72, polygonId=6, lat=42.3418
id=18995043, custId=fdbd9787-2e43-4b46-8849-5f87ea7bfb1a, eventTimestamp=2016-07-01T06:31:20.439+03:00, lon=-71.0986, hexagonId=65, polygonId=6, lat=42.3437
id=18996622, custId=ff3a5e32-4c11-448a-95ab-34a0a7e9d9b3, eventTimestamp=2016-07-01T06:37:32.323+03:00, lon=-71.0571, hexagonId=79, polygonId=6, lat=42.3503
id=18996236, custId=dfed09d2-796b-4ef1-bfc7-3a07d820d027, eventTimestamp=2016-07-01T06:36:10.651+03:00, lon=-71.076, hexagonId=73, polygonId=7, lat=42.3669
id=18994673, custId=6cfd7b85-927b-4d33-b6bc-ad3cb7255be7, eventTimestamp=2016-07-01T06:30:01.140+03:00, lon=-71.0775, hexagonId=72, polygonId=6, lat=42.3506
id=18996789, custId=15772afa-5a12-4d27-ae8b-dc4e59a8a4ff, eventTimestamp=2016-07-01T06:38:20.513+03:00, lon=-71.0571, hexagonId=79, polygonId=6, lat=42.3503
id=18995167, custId=87aefee0-8dec-4a71-945f-93df250cfc7d, eventTimestamp=2016-07-01T06:31:50.740+03:00, lon=-71.021, hexagonId=null, polygonId=null, lat=42.402
id=18995517, custId=29609871-1542-4aca-b1bd-28a76d495295, eventTimestamp=2016-07-01T06:33:21.105+03:00, lon=-71.0952, hexagonId=210, polygonId=7, lat=42.3798
id=18996076, custId=35fd8c7a-2726-42aa-a8c9-096c7e321401, eventTimestamp=2016-07-01T06:35:48.060+03:00, lon=-71.071, hexagonId=79, polygonId=6, lat=42.347
id=18995574, custId=4c90e7ce-f78a-4e28-9867-288e3d7a9f21, eventTimestamp=2016-07-01T06:33:40.017+03:00, lon=-71.0571, hexagonId=79, polygonId=6, lat=42.3503
id=18996108, custId=ac6601e1-8fda-4da2-98ad-0eabd97e7345, eventTimestamp=2016-07-01T06:35:53.376+03:00, lon=-71.0571, hexagonId=79, polygonId=6, lat=42.3503
id=18994769, custId=480bc5b2-f650-497e-b408-f46372b8f879, eventTimestamp=2016-07-01T06:30:20.316+03:00, lon=-71.0993, hexagonId=65, polygonId=6, lat=42.3472
id=18996302, custId=83176042-747a-41e7-a2f5-2c28f5946a4a, eventTimestamp=2016-07-01T06:36:21.950+03:00, lon=-71.1183, hexagonId=59, polygonId=5, lat=42.3647
id=18996825, custId=2f135229-63fd-4611-b3e2-ba08026a2fdd, eventTimestamp=2016-07-01T06:38:27.367+03:00, lon=-71.0571, hexagonId=79, polygonId=6, lat=42.3503
id=18995747, custId=5a7e1dfa-9514-409d-bf57-42d8b60952e9, eventTimestamp=2016-07-01T06:34:22.204+03:00, lon=-71.1885, hexagonId=38, polygonId=1, lat=42.3689
